xcoord, ycoord, zcoord
3.896000000000058208e+02,-1.199717499999969732e+03,1.100000000000000000e+01
4.488510000000242144e+02,-1.299616500000003725e+03,1.100000000000000000e+01
5.966750000000174623e+02,1.016025000000372529e+02,-9.000000000000000000e+00
7.012740000000048894e+02,5.238949999999022111e+01,1.000000000000000000e+00
7.228830000000307336e+02,4.027754999999888241e+02,-9.000000000000000000e+00
6.837010000000300352e+02,5.410805000000400469e+02,1.000000000000000000e+00
6.524730000000272412e+02,2.976774999999906868e+02,-9.000000000000000000e+00
5.452980000000097789e+02,4.266635000000242144e+02,1.000000000000000000e+00
5.151170000000274740e+02,2.323155000000260770e+02,-9.000000000000000000e+00
4.551120000000228174e+02,3.517165000000386499e+02,1.000000000000000000e+00
3.766830000000190921e+02,1.826905000000260770e+02,-9.000000000000000000e+00
2.765060000000230502e+02,2.803225000000093132e+02,1.000000000000000000e+00
2.819160000000265427e+02,1.028024999999906868e+02,-9.000000000000000000e+00
-5.914609999999811407e+02,8.418415000000386499e+02,-9.000000000000000000e+00
-7.416069999999890570e+02,7.731025000000372529e+02,-9.000000000000000000e+00
-1.066197999999974854e+03,8.007725000000209548e+02,-9.000000000000000000e+00
-8.895749999999825377e+02,8.508165000000153668e+02,-9.000000000000000000e+00
-8.024369999999762513e+02,7.658435000000172295e+02,-9.000000000000000000e+00
-8.755499999999883585e+02,6.707435000000405125e+02,-9.000000000000000000e+00
-7.636679999999760184e+02,6.123614999999990687e+02,-9.000000000000000000e+00
-7.767189999999827705e+02,-1.733724999999976717e+02,-9.000000000000000000e+00
-7.389989999999816064e+02,-2.545804999999818392e+02,-9.000000000000000000e+00
-7.105349999999743886e+02,-3.118804999999701977e+02,-9.000000000000000000e+00
-9.323159999999916181e+02,-1.159249999996973202e+01,-9.000000000000000000e+00
-9.769849999999860302e+02,-1.484344999999739230e+02,-9.000000000000000000e+00
-1.000787999999971362e+03,-2.809834999999729916e+02,-9.000000000000000000e+00
-1.070111999999993714e+03,-5.175949999998556450e+01,-9.000000000000000000e+00
-1.106867999999987660e+03,-1.810594999999739230e+02,-9.000000000000000000e+00
-1.124761999999987893e+03,-3.022394999999669380e+02,-9.000000000000000000e+00
-1.213045999999972992e+03,-9.505449999996926636e+01,-9.000000000000000000e+00
-1.224924999999988358e+03,-2.189814999999944121e+02,-9.000000000000000000e+00
-1.256322999999974854e+03,-3.199134999999660067e+02,-9.000000000000000000e+00
-1.324885999999969499e+03,-1.409994999999762513e+02,-9.000000000000000000e+00
-1.100623999999981606e+03,-3.730374999999767169e+02,-9.000000000000000000e+00
-1.046975999999995111e+03,-4.663584999999729916e+02,-9.000000000000000000e+00
-1.185524999999994179e+03,-4.269394999999785796e+02,-9.000000000000000000e+00
-1.117506999999983236e+03,-5.369224999999860302e+02,-9.000000000000000000e+00
-1.163137999999977183e+03,-6.547114999999757856e+02,-9.000000000000000000e+00
-1.227922999999980675e+03,-5.481364999999641441e+02,-9.000000000000000000e+00
-1.302335999999981141e+03,-4.265135000000009313e+02,-9.000000000000000000e+00
-1.258914999999979045e+03,-7.206014999999897555e+02,-9.000000000000000000e+00
-1.320958999999973457e+03,-5.878335000000079162e+02,-9.000000000000000000e+00
-1.027399999999994179e+03,-6.601854999999632128e+02,1.000000000000000000e+00
-1.149389999999984866e+03,-7.361694999999599531e+02,1.000000000000000000e+00
-1.265799999999988358e+03,-8.045574999999953434e+02,1.000000000000000000e+00
-1.182396999999968102e+03,-8.763385000000125729e+02,1.100000000000000000e+01
-1.083107999999978347e+03,-1.087927499999990687e+03,1.100000000000000000e+01
-9.267889999999897555e+02,-1.120377500000002328e+03,1.100000000000000000e+01
-1.031105999999970663e+03,1.578624999999883585e+02,-9.000000000000000000e+00
-1.140519999999989523e+03,1.134874999999883585e+02,-9.000000000000000000e+00
-1.248361999999993714e+03,1.521135000000358559e+02,-9.000000000000000000e+00
-1.307122999999992317e+03,2.615675000000046566e+02,1.100000000000000000e+01
-9.892929999999760184e+02,3.534825000000419095e+02,-9.000000000000000000e+00
-1.075355999999970663e+03,4.582405000000144355e+02,-9.000000000000000000e+00
-1.164559999999968568e+03,5.239745000000111759e+02,1.100000000000000000e+01
-9.400469999999913853e+02,6.402644999999902211e+02,-9.000000000000000000e+00
-7.852569999999832362e+02,7.428705000000190921e+02,-9.000000000000000000e+00
-8.479339999999792781e+02,8.886755000000121072e+02,-9.000000000000000000e+00
-7.684299999999930151e+02,5.998134999999892898e+02,-9.000000000000000000e+00
-8.793019999999669380e+02,6.320414999999920838e+02,-9.000000000000000000e+00
-1.025860999999975320e+03,7.635665000000153668e+02,-9.000000000000000000e+00
-1.192351999999984400e+03,7.551375000000116415e+02,-9.000000000000000000e+00
-1.327008999999990920e+03,9.183145000000367872e+02,-9.000000000000000000e+00
8.064790000000211876e+02,9.276475000000209548e+02,1.000000000000000000e+00
9.261780000000144355e+02,1.060677499999990687e+03,1.000000000000000000e+00
1.050808000000019092e+03,1.157728500000026543e+03,-9.000000000000000000e+00
1.181249000000010710e+03,1.173866500000003725e+03,-9.000000000000000000e+00
1.327009000000020023e+03,1.230133499999996275e+03,-9.000000000000000000e+00
1.180717000000004191e+03,1.329898500000010245e+03,-9.000000000000000000e+00
1.292807000000029802e+03,1.433972500000032596e+03,-9.000000000000000000e+00
1.075296000000031199e+03,1.430225500000000466e+03,-9.000000000000000000e+00
9.201710000000311993e+02,1.464265500000037719e+03,-9.000000000000000000e+00
8.172260000000242144e+02,1.459754500000039116e+03,-9.000000000000000000e+00
7.327570000000123400e+02,1.452523500000010245e+03,-9.000000000000000000e+00
6.376840000000083819e+02,1.447586500000033993e+03,-9.000000000000000000e+00
7.207980000000097789e+02,1.073027500000025611e+03,-9.000000000000000000e+00
7.675350000000325963e+02,1.245006500000017695e+03,-9.000000000000000000e+00
9.213020000000251457e+02,1.246561500000010710e+03,1.000000000000000000e+00
5.973080000000190921e+02,1.307458500000007916e+03,-9.000000000000000000e+00
7.860020000000076834e+02,6.889395000000367872e+02,1.000000000000000000e+00
8.522670000000216532e+02,8.183395000000018626e+02,1.000000000000000000e+00
9.278980000000155997e+02,7.403335000000079162e+02,-9.000000000000000000e+00
8.936540000000095461e+02,5.377694999999948777e+02,-9.000000000000000000e+00
1.007852000000013504e+03,5.904175000000395812e+02,-9.000000000000000000e+00
9.974850000000151340e+02,4.587725000000209548e+02,-9.000000000000000000e+00
1.122916000000026543e+03,6.269075000000302680e+02,-9.000000000000000000e+00
1.208518000000010943e+03,5.331334999999962747e+02,-9.000000000000000000e+00
9.216500000000232831e+02,9.544025000000256114e+02,1.000000000000000000e+00
1.029981000000028871e+03,8.735194999999948777e+02,-9.000000000000000000e+00
1.045105000000010477e+03,1.074520500000042375e+03,-9.000000000000000000e+00
1.171605000000010477e+03,1.084181500000006054e+03,-9.000000000000000000e+00
1.304072000000014668e+03,1.123856499999994412e+03,-9.000000000000000000e+00
1.304295000000012806e+03,9.659395000000367872e+02,-9.000000000000000000e+00
5.291050000000104774e+02,4.120500000019092113e+00,-9.000000000000000000e+00
5.387990000000281725e+02,-1.171545000000041910e+02,1.000000000000000000e+00
5.615160000000323635e+02,-2.413024999999906868e+02,1.100000000000000000e+01
5.795840000000316650e+02,-3.102764999999781139e+02,1.100000000000000000e+01
6.139960000000137370e+02,-3.891055000000051223e+02,1.100000000000000000e+01
